zipcode,classification_ontime
2719,Delayed
92545,Delayed
27357,On time
81211,Delayed
67220,On time
50047,On time
37363,Delayed
27545,On time
82501,On time
1749,Delayed
1908,Delayed
15065,On time
92236,On time
10306,Delayed
3885,On time
14514,On time
55388,On time
29569,On time
32168,Delayed
50273,Delayed
45040,Delayed
48382,Delayed
77441,Delayed
32903,Delayed
54840,On time
37146,Delayed
3034,On time
75233,On time
71019,On time
68111,Delayed
84332,On time
58102,Delayed
10704,Delayed
60142,On time
42071,Delayed
8501,Delayed
7033,Delayed
46825,Delayed
76936,On time
67801,Delayed
17527,On time
2739,On time
32653,Delayed
37618,On time
70433,Delayed
46552,Delayed
19933,On time
33135,On time
98903,On time
13820,Delayed
1075,Delayed
33545,Delayed
78264,On time
95661,Delayed
92116,Delayed
23507,Delayed
98387,Delayed
38572,Delayed
40769,On time
33127,On time
31201,Delayed
24521,On time
17322,On time
32129,Delayed
29229,Delayed
35022,Delayed
50049,On time
80120,Delayed
20910,Delayed
30329,Delayed
27244,On time
15690,Delayed
18252,Delayed
60441,Delayed
94520,Delayed
60942,On time
29566,Delayed
46311,On time
4048,On time
18704,Delayed
91755,Delayed
7461,Delayed
80005,Delayed
72112,On time
98019,Delayed
60609,Delayed
85123,On time
32792,Delayed
66043,On time
27828,On time
48324,Delayed
60631,Delayed
29204,On time
11379,Delayed
30540,On time
95540,Delayed
99203,Delayed
38916,On time
72417,On time
19087,Delayed
22134,On time
6105,Delayed
47302,Delayed
4915,Delayed
60514,Delayed
43338,Delayed
28303,Delayed
93105,Delayed
33704,Delayed
55604,On time
40517,Delayed
48092,On time
55041,On time
46236,Delayed
37642,On time
66538,On time
32935,Delayed
16371,On time
25303,Delayed
30068,Delayed
20180,Delayed
74601,On time
66216,Delayed
33194,On time
35803,Delayed
30188,Delayed
14892,On time
48025,Delayed
45710,On time
27976,Delayed
11363,On time
98391,Delayed
33461,Delayed
20190,Delayed
66083,On time
70739,Delayed
80304,Delayed
17314,On time
43140,On time
20912,Delayed
4468,On time
32327,Delayed
1568,Delayed
63390,On time
44116,Delayed
7310,Delayed
85266,On time
49646,Delayed
18102,Delayed
30601,Delayed
75707,On time
11763,Delayed
80122,Delayed
24701,Delayed
37650,On time
1464,On time
73102,On time
44212,Delayed
62221,Delayed
77008,Delayed
12211,Delayed
72401,Delayed
84032,Delayed
22079,Delayed
32937,Delayed
55101,Delayed
6365,On time
3104,Delayed
63052,Delayed
91001,Delayed
68105,Delayed
46750,Delayed
78009,On time
79015,Delayed
50401,Delayed
22801,Delayed
81301,Delayed
7866,Delayed
74146,On time
1913,Delayed
77051,On time
29617,On time
50320,Delayed
56353,On time
4843,Delayed
46205,Delayed
39209,On time
59201,On time
37890,On time
13035,On time
32904,Delayed
49870,On time
39145,On time
32686,On time
55113,Delayed
20032,Delayed
39562,On time
90201,Delayed
72058,On time
6354,On time
49117,On time
98077,Delayed
3038,Delayed
13053,On time
19512,On time
28681,On time
21104,Delayed
17401,On time
54904,On time
17402,Delayed
60644,Delayed
41035,On time
94087,Delayed
